,Clothing ID,Age,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
0,767,33,4,1,0,Initmates,Intimate,Intimates
1,1080,34,5,1,4,General,Dresses,Dresses
2,1077,60,3,0,0,General,Dresses,Dresses
3,1049,50,5,1,0,General Petite,Bottoms,Pants
4,847,47,5,1,6,General,Tops,Blouses
5,1080,49,2,0,4,General,Dresses,Dresses
6,858,39,5,1,1,General Petite,Tops,Knits
7,858,39,4,1,4,General Petite,Tops,Knits
8,1077,24,5,1,0,General,Dresses,Dresses
9,1077,34,5,1,0,General,Dresses,Dresses
10,1077,53,3,0,14,General,Dresses,Dresses
11,1095,39,5,1,2,General Petite,Dresses,Dresses
12,1095,53,5,1,2,General Petite,Dresses,Dresses
13,767,44,5,1,0,Initmates,Intimate,Intimates
14,1077,50,3,1,1,General,Dresses,Dresses
15,1065,47,4,1,3,General,Bottoms,Pants
16,1065,34,3,1,2,General,Bottoms,Pants
17,853,41,5,1,0,General,Tops,Blouses
18,1120,32,5,1,0,General,Jackets,Outerwear
19,1077,47,5,1,0,General,Dresses,Dresses
20,847,33,4,1,2,General,Tops,Blouses
21,1080,55,4,1,14,General,Dresses,Dresses
22,1077,31,2,0,7,General,Dresses,Dresses
23,1077,34,3,1,0,General,Dresses,Dresses
24,847,55,5,1,0,General,Tops,Blouses
25,697,31,3,0,0,Initmates,Intimate,Lounge
26,949,33,2,0,0,General,Tops,Sweaters
27,1003,31,4,1,0,General,Bottoms,Skirts
28,684,53,5,1,2,Initmates,Intimate,Lounge
29,4,28,5,1,0,General,Tops,Sweaters
30,1060,33,5,1,0,General Petite,Bottoms,Pants
31,1060,46,5,1,7,General Petite,Bottoms,Pants
32,1060,21,5,1,0,General Petite,Bottoms,Pants
33,949,36,2,0,0,General,Tops,Sweaters
34,697,39,5,1,0,Initmates,Intimate,Lounge
35,1060,65,4,1,3,General Petite,Bottoms,Pants
36,1002,29,4,1,5,General,Bottoms,Skirts
37,949,38,5,1,1,General,Tops,Sweaters
38,684,36,5,1,2,Initmates,Intimate,Lounge
39,862,59,5,1,0,General,Tops,Knits
40,862,47,4,1,1,General,Tops,Knits
41,862,40,5,1,0,General,Tops,Knits
42,910,23,5,1,0,General,Tops,Fine gauge
43,89,67,4,1,1,Initmates,Intimate,Sleep
44,862,48,5,1,9,General,Tops,Knits
45,862,43,4,1,0,General,Tops,Knits
46,862,40,5,1,0,General,Tops,Knits
47,823,52,5,1,0,General,Tops,Blouses
